SummitCode,SummitName,Longitude,Latitude,Points
GI/SM-015,Binevenagh,-6.91792,55.11334,1
GI/SM-016,Craignamaddy,-7.1901,54.74985,1
GI/SM-017,Oughtmore,-6.87788,54.69616,1
GI/SM-018,Slievekirk,-7.29742,54.9194,1
GI/SM-019,Crocknamoghil,-7.104,54.71061,1
GI/SM-020,Crockdooish,-7.17686,54.86654,1
GI/SM-021,Slievemore,-7.0855,54.49847,1
GI/SM-022,Holywell Hill,-7.39915,54.99989,1
GI/SM-023,Clondermot Hill,-7.32325,54.95997,1
GI/SM-024,Gortmonly Hill,-7.38322,54.91807,1
GI/SW-001,Bessy Bell,-7.39559,54.6852,2
GI/SW-002,Belmore Mountain,-7.78783,54.32445,1
GI/SW-003,Tullybrack,-7.86231,54.36081,1
GI/SW-004,Slieve Beagh,-7.1954,54.33876,1
GI/SW-005,Bolaght Mountain,-7.59966,54.63601,1
GI/SW-006,Dooish,-7.51366,54.57551,1
GI/SW-007,Brougher Mountain,-7.46311,54.42168,1
GI/SW-008,Pollnalaght,-7.42908,54.57789,1
GI/SW-009,Mullaghcroy,-7.49066,54.68321,1
GJ/JE-001,Les Platons (Jersey),-2.1055,49.2479,1
GM/CS-001,Ben Lawers,-4.22086,56.54492,10
GM/CS-002,Creag Meagaidh,-4.60212,56.95202,10
GM/CS-003,Beinn a'Ghlo - Carn nan Gabhar,-3.68806,56.83984,10
GM/CS-004,Meall Garbh,-4.20771,56.56612,10
GM/CS-005,Schiehallion,-4.10023,56.66693,8
GM/CS-006,Beinn a'Chreachain,-4.64762,56.56039,8
GM/CS-007,Beinn Heasgarnich,-4.57922,56.51027,8
GM/CS-008,Beinn Dorain,-4.72216,56.50287,8
GM/CS-009,Braigh Coire Chruinn-bhalgain,-3.72951,56.83108,8
GM/CS-010,Meall Corranaich,-4.25347,56.54095,8
GM/CS-011,Glas Tulaichean,-3.55816,56.86576,8
GM/CS-012,Beinn a'Chaorainn,-4.65364,56.92862,8
GM/CS-013,Creag Mhor,-4.61404,56.48952,8
GM/CS-014,Beinn Iutharn Mhor,-3.56823,56.89499,8
GM/CS-015,Meall nan Tarmachan,-4.30134,56.52166,8
GM/CS-016,Carn Mairg,-4.14561,56.63464,8
GM/CS-017,Meall Ghaordaidh,-4.41665,56.52581,8
GM/CS-018,Beinn Achaladair,-4.69453,56.55189,8
GM/CS-019,Carn Gorm,-4.22602,56.62254,8
GM/CS-020,Carn an Righ,-3.59527,56.87658,8
GM/CS-021,Ben Challum,-4.61918,56.45457,8
GM/CS-022,Beinn Udlamain,-4.32998,56.83545,8
GM/CS-023,Beinn Dearg,-3.88372,56.87735,8
GM/CS-024,An Sgarsoch,-3.75429,56.93211,8
GM/CS-025,Beinn an Dothaidh,-4.71396,56.53013,8
GM/CS-026,Meall Greigh,-4.15956,56.56742,8
GM/CS-027,Carn an Fhidhleir (Carn Ealar),-3.80153,56.93602,6
GM/CS-028,Sgairneach Mhor,-4.29779,56.82845,6
GM/CS-029,Carn Liath,-3.74409,56.80777,6
GM/CS-030,Carn a'Gheoidh,-3.46662,56.87307,6
GM/CS-031,Carn a'Chlamain,-3.77963,56.86097,6
GM/CS-032,Stuchd an Lochain,-4.4706,56.57091,6
GM/CS-033,Meall Glas,-4.54682,56.45571,6
GM/CS-034,Beinn Mhanach,-4.64604,56.53404,6
GM/CS-035,Meall Chuaich,-4.11257,56.96385,6
GM/CS-036,Carn Bhac,-3.56088,56.93054,6
GM/CS-037,Carn Dearg,-4.25325,57.09226,6
GM/CS-038,An Socach,-3.51316,56.90229,6
GM/CS-039,Carn na Caim,-4.17448,56.91174,6
GM/CS-040,Meall Buidhe,-4.44864,56.61722,6
GM/CS-041,Meall a'Choire Leith,-4.25962,56.56631,6
GM/CS-042,Sgiath Chuil,-4.49565,56.45315,6
GM/CS-043,Geal-charn,-4.30452,56.87443,6
GM/CS-044,Beinn Teallach,-4.69475,56.93593,6
GM/CS-045,Beinn Bhreac,-3.86034,56.91613,6
GM/CS-046,Leathad an Taobhain,-3.93865,56.94865,6
GM/CS-047,Beinn nan Oighreag,-4.37324,56.54009,6
GM/CS-048,Meall Buidhe,-4.562,56.57015,6
GM/CS-049,Ben Vuirich,-3.64401,56.81074,6
GM/CS-050,Beinn Odhar,-4.70044,56.46766,6
GM/CS-051,Beinn Mheadhonach,-3.83846,56.86095,6
GM/CS-052,Gairbeinn,-4.53968,57.05199,4
GM/CS-053,Beinn a'Chuallaich,-4.15152,56.72902,4
GM/CS-054,Beinn a'Chaisteil,-4.6861,56.49062,4
GM/CS-055,Cam Chreag,-4.63916,56.47606,4
GM/CS-056,Carn an Fhreiceadain,-4.10736,57.13736,4
GM/CS-057,A'Chaoirnich,-4.07819,56.90042,4
GM/CS-058,Cam Chreag,-4.38563,56.61109,4
GM/CS-059,Meall na h-Aisre,-4.45036,57.06742,4
GM/CS-060,Morrone,-3.42958,56.98079,4
GM/CS-061,Carn Dearg Mor,-3.93865,56.9968,4
GM/CS-062,Stob an Aonaich Mhoir,-4.39609,56.7933,4
GM/CS-063,Beinn nan Imirean,-4.56584,56.44413,4
GM/CS-064,Beinn Mholach,-4.3121,56.75953,4
GM/CS-065,Ben Vrackie,-3.71727,56.74895,4
GM/CS-066,Sron a'Choire Chnapanich,-4.51486,56.57418,4
GM/CS-067,Carn Dearg,-4.72333,56.95981,4
GM/CS-068,Beinn Dearg,-4.26897,56.61893,4
GM/CS-069,An Dun,-4.10863,56.8948,4
GM/CS-070,Geal-charn Mor,-3.92692,57.18695,4
GM/CS-071,Beinn Chaorach,-4.66494,56.45889,4
GM/CS-072,Carn a'Chuilinn,-4.61484,57.09427,4
GM/CS-073,Carn Dearg,-4.72043,57.03113,4
GM/CS-074,Carn na Saobhaidhe,-4.32052,57.19897,4
GM/CS-075,Beinn nam Fuaran,-4.66466,56.50716,4
GM/CS-076,Meall nan Subh,-4.50381,56.5245,4
GM/CS-077,Ben Gulabin,-3.47589,56.83265,4
GM/CS-078,The Sow of Atholl,-4.25518,56.8381,4
GM/CS-079,Beinn Iaruinn,-4.80315,56.97015,4
GM/CS-080,Meall Tairneachan,-3.94741,56.6659,4
GM/CS-081,Farragon Hill,-3.89421,56.67506,4
GM/CS-082,Meall nam Maigheach,-4.3025,56.56287,4
GM/CS-083,Meall na Leitreach,-4.22799,56.80404,4
GM/CS-084,Meallach Mhor,-4.01527,56.99279,4
GM/CS-085,Carn Dearg,-4.70735,57.01574,4
GM/CS-086,Creag Dhubh,-4.18076,57.04715,4
GM/CS-087,Meall a'Mhuic,-4.31725,56.62743,4
GM/CS-088,Creag Liath,-4.20612,57.0785,4
GM/CS-089,Leana Mhor,-4.82178,56.9503,2
GM/CS-090,Leana Mhor,-4.76904,56.95178,2
GM/CS-091,Carn Glas-choire,-3.84328,57.33944,2
GM/CS-092,Creag Ruadh,-4.16396,56.96638,2
GM/CS-093,Creag Dhubh,-4.7558,56.90297,2
GM/CS-094,Blath Bhalg,-3.60438,56.73139,2
GM/CS-095,Creag Ruadh,-4.37491,56.99113,2
GM/CS-096,Carn na h-Easgainn,-4.0898,57.36182,2
GM/CS-097,Carn nan Tri-tighearnan,-3.96154,57.42638,2
GM/CS-098,Creag a'Mhadaidh,-4.23473,56.75674,2
GM/CS-099,Leagag,-4.41758,56.6535,2
GM/CS-100,Dun Coillich,-4.02036,56.65818,2
GM/CS-101,Beinn a'Mhonicag,-4.81504,56.92897,2
GM/CS-102,Creag nam Mial,-3.54554,56.6692,2
GM/CS-103,Beinn Mheadhoin,-4.31587,57.2625,2
GM/CS-104,Beinn a'Bhacaidh,-4.59584,57.17125,2
GM/CS-105,Carn na Loine,-3.54948,57.40572,2
GM/CS-106,Creag a'Chliabhain,-4.36227,57.25364,2
GM/CS-107,Drumcroy Hill,-4.059,56.74127,2
GM/CS-108,Deuchary Hill,-3.57032,56.61857,2
GM/CS-109,Meall Mor,-4.10249,57.39301,1
GM/CS-110,Meall an Tarsaid,-4.49727,57.18351,1
GM/CS-111,Creag Bheag,-4.07102,57.0896,1
GM/CS-112,Beinn Mhor,-3.67312,57.33229,1
GM/CS-113,Tom Bailgeann,-4.34659,57.33392,1
GM/CS-114,Drummond Hill,-4.03738,56.5846,1
GM/CS-115,Knock of Braemoray,-3.64849,57.45509,1
GM/CS-116,Hill of Persie,-3.43422,56.68797,1
GM/CS-117,Stac na Cathaig,-4.26127,57.3414,1
GM/CS-118,Stac Gorm,-4.27565,57.31583,1
GM/CS-119,Creag nan Clag,-4.33081,57.32407,1
GM/CS-120,Brown Muir,-3.24161,57.57782,1
GM/CS-121,Hill of the Wangie,-3.4448,57.56548,1
GM/CS-122,Newtyle Hill,-3.54722,56.55931,1
GM/CS-123,Burgiehill,-3.51146,57.58418,1
GM/CS-124,Meall Chomraidh,-4.47554,56.66814,1
GM/NS-001,Sgurr Mor,-5.01677,57.70013,10
GM/NS-002,Sgurr nan Clach Geala,-5.04824,57.69628,8
GM/NS-003,Beinn Dearg,-4.92956,57.78635,8
GM/NS-004,An Teallach - Bidein a'Ghlas Thuill,-5.25177,57.8071,8
GM/NS-005,Ben Wyvis,-4.57925,57.67891,8
GM/NS-006,Mullach Coire Mhic Fhearchair,-5.27134,57.70902,8
GM/NS-007,Sgurr Breac,-5.09131,57.69194,6
GM/NS-008,A'Chailleach,-5.12871,57.69377,6
GM/NS-009,Ben More Assynt,-4.85821,58.13816,6
GM/NS-010,Sgurr Ban,-5.2659,57.71854,6
GM/NS-011,Slioch,-5.34705,57.66718,6
GM/NS-012,Cona' Mheall,-4.90342,57.79108,6
GM/NS-013,A'Mhaighdean,-5.34672,57.71965,6
GM/NS-014,Ben Klibreck - Meall nan Con,-4.41113,58.2352,6
GM/NS-015,Am Faochagach,-4.8539,57.7718,6
GM/NS-016,Beinn Tarsuinn,-5.29163,57.70205,6
GM/NS-017,Fionn Bheinn,-5.10271,57.61115,6
GM/NS-018,Eididh nan Clach Geala,-4.9342,57.8135,6
GM/NS-019,Seana Bhraigh,-4.89662,57.84733,6
GM/NS-020,Ben Hope,-4.60786,58.41311,6
GM/NS-021,Ruadh Stac Mor,-5.32929,57.72678,6
GM/NS-022,Beinn a'Chlaidheimh,-5.25907,57.74592,6
GM/NS-023,Foinaven - Ganu Mor,-4.8857,58.41206,6
GM/NS-024,Beinn Dearg Mor,-5.30994,57.7658,6
GM/NS-025,Beinn Enaiglair,-4.98673,57.7791,4
GM/NS-026,Ben Hee,-4.68391,58.26589,4
GM/NS-027,Beinn Lair,-5.3892,57.70384,4
GM/NS-028,Beinn a'Chaisgein Mor,-5.39209,57.75116,4
GM/NS-029,Cul Mor,-5.11677,58.05812,4
GM/NS-030,Canisp,-5.05285,58.12091,4
GM/NS-031,Carn Ban,-4.80104,57.84677,4
GM/NS-032,Carn Chuinneag,-4.55414,57.81381,4
GM/NS-033,Beinn Dearg Bheag,-5.33143,57.77599,4
GM/NS-034,Breabag,-4.90854,58.09737,4
GM/NS-035,Quinag - Sail Gharbh,-5.0499,58.21515,4
GM/NS-036,Creag Rainich,-5.19902,57.72566,4
GM/NS-037,Meallan Liath Coire Mhic Dhughaill,-4.80567,58.31007,4
GM/NS-038,Cranstackie,-4.82872,58.45743,4
GM/NS-039,Beinn Leoid,-4.86161,58.22202,4
GM/NS-040,Beinn Airigh Charr,-5.47761,57.72756,4
GM/NS-041,Beinn a'Chaisteil,-4.74299,57.78092,4
GM/NS-042,Arkle,-4.90364,58.37106,4
GM/NS-043,Meall Horn,-4.8176,58.36168,4
GM/NS-044,Glas Bheinn,-4.97057,58.19268,4
GM/NS-045,Quinag - Sail Gorm,-5.06954,58.22561,4
GM/NS-046,Beinn Spionnaidh,-4.8105,58.47304,4
GM/NS-047,Cul Beag,-5.15099,58.02955,4
GM/NS-048,Sail Mhor,-5.31582,57.84445,4
GM/NS-049,Beinn Liath Mhor a'Ghiubhais Li,-4.88638,57.69865,4
GM/NS-050,Little Wyvis,-4.63264,57.64278,4
GM/NS-051,Quinag - Spidean Coinich,-5.05447,58.20187,4
GM/NS-052,Ben Loyal - An Caisteal,-4.43503,58.40493,4
GM/NS-053,Carn an Tionail,-4.74574,58.31036,4
GM/NS-054,Meallan a'Chuail,-4.82003,58.22072,4
GM/NS-055,Groban,-5.18923,57.68754,4
GM/NS-056,Beinn nan Eun,-4.60898,57.74661,4
GM/NS-057,Ben Mor Coigach,-5.22574,57.98654,4
GM/NS-058,Meall Mor,-4.49546,57.73619,4
GM/NS-059,Sabhal Beag,-4.78113,58.34437,4
GM/NS-060,Suilven - Caisteal Liath,-5.13676,58.11552,4
GM/NS-061,Meall Doire Faid,-4.99277,57.76716,4
GM/NS-062,Meall Mheinnidh,-5.43515,57.71667,4
GM/NS-063,Ben Stack,-4.95772,58.33492,4
GM/NS-064,Beinn Tharsuinn,-4.6734,57.80775,4
GM/NS-065,Creag Mhor,-4.2153,58.18569,4
GM/NS-066,Beinn nan Ramh,-5.11896,57.64676,4
GM/NS-067,Morven,-3.69673,58.23423,4
GM/NS-068,Meall a'Chaorainn,-5.12059,57.59508,4
GM/NS-069,Ben Armine - Creag a'Choire Ghlais,-4.22326,58.21541,4
GM/NS-070,Sgurr an Fhidhleir,-5.22594,57.99729,4
GM/NS-071,Carn a'Choin Deirg,-4.70496,57.89172,4
GM/NS-072,Carn Loch nan Amhaichean,-4.67077,57.74337,2
GM/NS-073,Beinn a'Mhuinidh,-5.29873,57.64123,2
GM/NS-074,Beinn Tharsuinn,-4.34532,57.78146,2
GM/NS-075,Beinn Direach,-4.72141,58.30211,2
GM/NS-076,Beinn a'Chaisgein Beag,-5.42281,57.7826,2
GM/NS-077,Beinn Bheag,-5.2142,57.69151,2
GM/NS-078,Meall Dubh,-4.99152,57.85208,2
GM/NS-079,Carn Salachaidh,-4.49737,57.85186,2
GM/NS-080,Beinn Ghobhlach,-5.28247,57.89597,2
GM/NS-081,Meall a'Chaorainn,-4.76143,57.80403,2
GM/NS-082,Beinn Dhorain,-3.82561,58.11677,2
GM/NS-083,Scaraben,-3.59151,58.22037,2
GM/NS-084,Beinn an Eoin,-5.209,58.00657,2
GM/NS-085,Meall an Fheur Loch,-4.79187,58.23769,2
GM/NS-086,Stac Pollaidh,-5.20852,58.04411,2
GM/NS-087,Beinn Mhealaich,-3.76509,58.11141,2
GM/NS-088,Cnoc Damh,-4.92191,57.92178,2
GM/NS-089,Ben Griam Mor,-4.03925,58.3227,2
GM/NS-090,Beinn nam Ban,-5.18972,57.86676,2
GM/NS-091,Ben Griam Beg,-3.9972,58.34348,2
GM/NS-092,Meall an Fhuarain,-4.90932,57.97728,2
GM/NS-093,Beinn Reidh,-5.04058,58.14372,2
GM/NS-094,Beinn Eilideach,-5.08731,57.88592,2
GM/NS-095,An Cabar,-4.92055,57.63315,2
GM/NS-096,Cnoc nan Cuilean,-4.40038,58.38156,2
GM/NS-097,Creag Scalabsdale,-3.75372,58.19329,2
GM/NS-098,Creag Dhubh Mhor,-4.6288,58.2648,2
